Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"327",39,23,5,3,1,27,252,422,648,468,276,332,427,452,483,425,684,1289,780,532,349,180,90,44
"228",23,7,1,3,5,10,62,125,180,124,81,124,173,166,165,192,417,672,249,144,92,60,49,23
"369",78,51,24,8,16,14,44,126,255,107,92,94,104,140,168,145,161,228,254,246,178,172,147,118
"3062",14,7,4,1,0,2,1,9,15,23,30,30,19,24,25,16,21,19,48,35,21,19,17,16
"3099",7,1,0,2,0,1,4,10,55,30,29,16,14,20,7,10,12,19,25,31,19,15,7,10
"3115",12,3,2,2,2,5,36,69,92,106,46,53,64,65,71,62,61,93,111,99,76,43,47,30
"254",40,22,11,3,2,19,45,141,224,164,88,96,113,171,155,188,160,255,224,240,196,179,103,76
"3169",6,5,0,1,1,1,39,142,339,166,99,103,111,123,102,112,93,131,131,134,96,37,18,38
"3168",39,15,3,2,1,13,155,363,258,238,246,321,421,535,503,553,527,649,506,375,263,137,91,69
"402",61,23,23,12,6,14,70,277,422,473,380,462,604,640,707,677,935,2066,2303,724,303,253,167,98
"3139",15,4,9,2,4,2,18,103,170,141,98,126,130,150,180,205,160,239,198,178,129,100,44,17
"3085",3,0,3,0,0,0,1,1,12,2,3,2,9,6,3,2,7,2,7,10,8,25,5,8
"306",28,20,7,10,24,12,89,88,165,134,75,82,151,166,115,147,197,348,354,214,145,84,59,50
"3080",8,3,5,0,0,1,11,24,64,68,33,41,38,41,33,34,45,45,68,57,52,15,9,12
"3086",29,16,9,3,3,1,6,15,102,90,63,64,68,72,80,76,69,87,126,144,116,109,60,52
"516",15,13,4,0,0,8,26,66,126,157,89,70,70,83,69,85,111,299,280,97,70,26,27,24
"3112",31,24,12,10,5,2,14,48,109,115,77,80,113,147,124,127,136,212,299,215,141,94,72,64
"475",37,25,14,4,1,26,58,178,403,490,211,181,182,176,182,198,272,306,382,335,198,135,120,75
"391",27,15,3,4,4,39,25,67,136,149,114,74,85,73,81,81,84,125,187,181,122,73,61,41
"539",80,31,32,10,4,3,36,70,143,116,87,122,119,123,167,144,167,195,213,235,215,144,124,109
"360",12,2,8,2,1,5,69,103,140,84,60,99,171,120,144,143,210,467,210,131,91,62,50,40
"430",27,16,4,3,0,1,9,38,115,166,101,147,156,140,139,172,174,334,505,279,161,97,59,40
"385",30,12,4,2,11,19,119,129,203,159,157,144,143,164,141,133,164,297,409,223,140,110,73,44
"523",36,34,12,9,5,57,86,164,617,596,317,275,270,286,304,322,442,986,1099,557,306,190,111,86
"300",72,23,15,13,13,39,122,135,382,434,140,144,125,152,170,137,201,268,345,331,244,153,124,109
"465",22,16,9,6,4,39,90,237,525,596,271,262,209,264,207,195,249,415,321,157,93,114,83,42
"153",12,8,3,1,3,16,89,171,526,341,219,293,325,380,359,358,465,512,354,240,217,207,76,27
"237",119,78,38,32,8,42,114,267,366,162,187,216,243,256,269,282,292,383,439,435,306,269,244,179
"2010",38,16,6,2,3,2,26,45,52,126,122,145,178,190,201,242,284,411,617,330,162,67,56,56
"472",41,11,7,8,4,41,181,360,671,622,317,379,391,373,360,432,485,650,453,299,225,150,113,72
